page_num,chapter_title,workbook_ref,lesson_title,section_code,q_label,answer,answer_yomi,2026-06-11_maru,2026-06-11_batsu,2026-06-10_batsu,2026-06-10_maru,2026-06-08_batsu,2026-06-08_maru,2026-06-07_maru,2026-06-07_batsu
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,地図,①,イ,,,,,2,,3,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,地図,②,ア,,,,,2,,3,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,①,ローマ教皇[法王],ろーまきょうこう[ほうおう],,,,1,,1,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,②,十字軍,じゅうじぐん,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,③,ルネサンス[文芸復興],るねさんす[ぶんげいふっこう],,,,,,2,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,④,宗教改革,しゅうきょうかいかく,,,7,9,2,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑤,イエズス会,いえずすかい,,,4,2,,,,1
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑥,香辛料,こうしんりょう,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑦,大航海時代,だいこうかいじだい,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑧,コロンブス,,,,,1,,,,1
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑨,バスコ=ダ=ガマ,,,,,,,,2,1
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑩,マゼラン,,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑪,インカ帝国,いんかていこく,,,,1,,,,1
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑫,オランダ,,,,,1,,,,1
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑬,鉄砲,てっぽう,,,,,,,1,1
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑭,南蛮貿易,なんばんぼうえき,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑮,フランシスコ=ザビエル,,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,A,⑯,キリシタン,,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B-1,(1),エルサレム,,,,1,,,,,1
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B-1,(2),A,,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B-1,(3),ウ,,,,1,,,,,1
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B-1,(4),ルター,,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B-2,(1),種子島,たねがしま,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B-2,(2),（例）日本でキリスト教を布教するため。,,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B-2,(3),銀,ぎん,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B-2,(4),（例）貿易の利益を得るため。,,,,1,,,,,1
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B+,(1)①,B,,,,,,,,,1
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B+,(1)②,C,,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B+,(1)③,A,,,,,,,,1,
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B+,(2)X,スペイン,,,,,,,,,2
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B+,(2)Y,ポルトガル,,,,,,,,,2
2,第４章：武家政権の展開と世界の動き,本誌 P.2・3,大航海によって結びつく世界,B+,(3),（例）アジアの香辛料などを直接取り引きするため。,,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,地図,①,ア,,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,地図,②,イ,,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,①,織田信長,おだのぶなが,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,②,室町,むろまち,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,③,長篠の戦い,ながしののたたかい,,,1,,,,,1
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,④,安土城,あづちじょう,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑤,楽市・楽座,らくいち・らくざ,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑥,豊臣秀吉,とよとみひでよし,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑦,刀狩,かたながり,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑧,太閤検地,たいこうけんち,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑨,兵農分離,へいのうぶんり,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑩,キリスト教,きりすときょう,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑪,朝鮮,ちょうせん,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑫,天守,てんしゅ,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑬,千利休,せんのりきゅう,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑭,桃山文化,ももやまぶんか,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑮,南蛮文化,なんばんぶんか,,,,,,,,1
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,A,⑯,かぶき踊り,かぶきおどり,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B-1,(1),長篠の戦い,ながしののたたかい,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B-1,(2)①,A,,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B-1,(2)②,（例）大量の鉄砲を使って戦っているから。,,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B-1,(3)a,市,,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B-1,(3)b,座,,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B-1,(4),イ、エ,,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B-2,(1),狩野永徳,かのうえいとく,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B-2,(2),茶の湯,ちゃのゆ,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B-2,(3),かぶき踊り,かぶきおどり,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B-2,(4),（例）豪商や戦国大名の経済力などを反映した、壮大で豪華な文化。,,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B+,(1),刀狩令,かたながりれい,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B+,(2)a,一揆,いっき,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B+,(2)b,年貢,ねんぐ,,,,,,,1,
3,第４章：武家政権の展開と世界の動き,本誌 P.4・5,戦乱から全国統一へ,B+,(3),（例）武士と百姓の身分の区別が明確になった。,,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,①,鉄砲,てっぽう,,,,,,,,1
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,②,フランシスコ=ザビエル,,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,③,南蛮貿易,なんばんぼうえき,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,④,織田信長,おだのぶなが,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,⑤,太閤検地,たいこうけんち,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,⑥,刀狩,かたながり,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,⑦,豊臣秀吉,とよとみひでよし,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,⑧,十字軍,じゅうじぐん,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,⑨,宗教改革,しゅうきょうかいかく,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,⑩,コロンブス,,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,流れ,⑪,兵農分離,へいのうぶんり,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,資料,⑫,鉄砲,てっぽう,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,資料,⑬,百姓,ひゃくしょう,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,資料,⑭,狩野永徳,かのうえいとく,,,,,,,1,
4,第４章：武家政権の展開と世界の動き,本誌 P.6,近世のできごとの流れと重要資料①,資料,⑮,桃山,ももやま,,,,,,,1,
5,第４章：武家政権の展開と世界の動き,本誌 P.7,確かめ問題：結びつく世界と全国統一,1,(1),生糸・火薬,きいと・かやく,,,,,,,1,
5,第４章：武家政権の展開と世界の動き,本誌 P.7,確かめ問題：結びつく世界と全国統一,1,(2),ア,,,,,,,,1,
5,第４章：武家政権の展開と世界の動き,本誌 P.7,確かめ問題：結びつく世界と全国統一,1,(3)①,フランシスコ=ザビエル,,,,,,,,1,
5,第４章：武家政権の展開と世界の動き,本誌 P.7,確かめ問題：結びつく世界と全国統一,1,(3)②,（例）海外布教に力を入れていたから。,,1,,,,,,,1
5,第４章：武家政権の展開と世界の動き,本誌 P.7,確かめ問題：結びつく世界と全国統一,2,(1)①,織田信長,おだのぶなが,,,,,,,1,
5,第４章：武家政権の展開と世界の動き,本誌 P.7,確かめ問題：結びつく世界と全国統一,2,(1)②,（例）座による営業の独占を認めずに、自由な商工業の発展を図ろうとしたため。,,,1,,,,,,1
5,第４章：武家政権の展開と世界の動き,本誌 P.7,確かめ問題：結びつく世界と全国統一,2,(2)①,豊臣秀吉,とよとみひでよし,,,,,,,1,
5,第４章：武家政権の展開と世界の動き,本誌 P.7,確かめ問題：結びつく世界と全国統一,2,(2)②,（例）ポルトガルとの貿易を禁止しなかったから。,,,,,,,,,1
5,第４章：武家政権の展開と世界の動き,本誌 P.7,確かめ問題：結びつく世界と全国統一,2,(3),桃山文化,ももやまぶんか,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,地図,①,イ,,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,地図,②,ア,,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,①,徳川家康,とくがわいえやす,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,②,関ヶ原の戦い,せきがはらのたたかい,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,③,（江戸）幕府,えどばくふ,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,④,幕領,ばくりょう,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑤,藩,はん,1,,,,1,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑥,幕藩体制,ばくはんたいせい,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑦,武家諸法度,ぶけしょはっと,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑧,江戸,えど,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑨,参勤交代,さんきんこうたい,,,,,,2,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑩,朱印状,しゅいんじょう,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑪,朱印船貿易,しゅいんせんぼうえき,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑫,日本町,にほんまち,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑬,キリスト教,きりすときょう,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑭,島原・天草一揆,しまばら・あまくさいっき,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑮,ポルトガル,,,1,,,1,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,⑯,宗門改め,しゅうもんあらため,1,,,,1,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-1,(1)①,老中,ろうじゅう,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-1,(1)②,京都所司代,きょうとしょしだい,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-1,(2)①,武家諸法度,ぶけしょはっと,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-1,(2)②,城,しろ,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-1,(2)③,参勤交代,さんきんこうたい,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-1,(2)④,徳川家光,とくがわいえみつ,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-2,(1)①,銀,ぎん,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-2,(1)②,生糸,きいと,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-2,(2),（例）多くの日本人が住むようになり、日本町もできた。,,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-2,(3),イ→ア→ウ,,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B-2,(4),（例）日本を侵略するきっかけになると考えたから。,,,,,,,,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B+,(1)A,親藩,しんぱん,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B+,(1)B,外様大名,とざまだいみょう,,,,,,1,1,
6,第４章：武家政権の展開と世界の動き,本誌 P.8・9,幕藩体制の始まりと貿易統制,B+,(2),（例）江戸から遠い地域に配置されている。,,,,,,,1,,1
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,地図,①,ア,,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,地図,②,イ,,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,①,鎖国,さこく,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,②,薩摩,さつま,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,③,キリスト教,きりすときょう,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,④,オランダ,,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑤,出島,でじま,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑥,オランダ風説書,おらんだふうせつがき,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑦,清,しん,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑧,唐人屋敷,とうじんやしき,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑨,宗氏,そうし,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑩,朝鮮通信使,ちょうせんつうしんし,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑪,琉球王国,りゅうきゅうおうこく,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑫,慶賀使,けいがし,,,,1,1,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑬,謝恩使,しゃおんし,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑭,松前藩,まつまえはん,,,,1,1,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑮,アイヌ民族,あいぬみんぞく,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,⑯,シャクシャイン,,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-1,(1),オランダ,,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-1,(2),長崎奉行,ながさきぶぎょう,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-1,(3)①,エ,,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-1,(3)②,ア,,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-1,(4),（例）キリスト教の布教を行わなかったから。,,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-1,(5),対馬藩,つしまはん,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-1,(6),朝鮮通信使,ちょうせんつうしんし,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-2,(1),イ,,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-2,(2),黒砂糖,くろざとう,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-2,(3),アイヌ民族,あいぬみんぞく,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-2,(4)①,シャクシャイン,,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B-2,(4)②,（例）アイヌ民族にとって不利な交換比率に、不満が高まったから。,,,,,,,,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B+,(1)A,清,しん,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B+,(1)B,出島,でじま,,,,,,1,1,
7,第４章：武家政権の展開と世界の動き,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B+,(2),（例）藩が窓口になって貿易や交易をしていた点。,,,1,,,3,,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,地図,①,ア,,,,,,,2,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,地図,②,イ,,,,,,,2,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,①,兵農分離,へいのうぶんり,,,,,,2,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,②,町人,ちょうにん,,,,,,2,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,③,帯刀,たいとう,,,,,,2,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,④,百姓,ひゃくしょう,,,,,,2,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,⑤,本百姓,ほんびゃくしょう,,,,,,3,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,⑥,水呑百姓,みずのみびゃくしょう,,,,,,2,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,⑦,五人組,ごにんぐみ,,,,,,2,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,⑧,徳川綱吉,とくがわつなよし,,,,,,2,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,⑨,朱子学,しゅしがく,,,,1,1,1,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,⑩,新田開発,しんでんかいはつ,,,,,,1,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,⑪,備中鍬,びっちゅうぐわ,,,,,,1,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,⑫,千歯こき,せんばこき,,,,,,1,1,
8,第４章：武家政権の展開と世界の動き,本誌 P.12・13,身分制社会と産業の発達,A,⑬,特産物,とくさんぶつ,,,,,,1,1,
